player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
E.J. Speed,HOU,2025,defense,45,LB,16,429,159,32,238,54.7,62.9,48.3,50.3,54.8,7,0,2,5,1,37,7,9,17.0,24,0,28,20,71.4,155,7.8,96,15,1,0,0,96.6,3 (0),16,372,1,37,3,0,0,0,16
Tremon Smith,HOU,2025,defense,11,CB,10,175,56,0,119,54.5,76.5,73.3,-,50.3,0,0,0,0,0,12,5,1,5.6,4,0,15,9,60.0,178,19.8,46,66,1,0,1,123.8,0 (0),0,14,1,5,155,0,0,0,0
Ja'Marcus Ingram,HOU,2025,defense,42,CB,1,40,17,0,23,54.3,39.5,26.0,-,59.4,0,0,0,0,0,2,0,2,50.0,0,0,3,1,33.3,53,53.0,10,53,0,0,0,81.9,0 (0),0,4,0,0,35,0,0,0,0
Dylan Horton,HOU,2025,defense,92,ED,16,245,113,132,0,53.0,59.2,69.9,49.5,60.0,16,1,2,13,0,14,3,0,0.0,11,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),244,0,0,0,0,0,0,2,242
Foley Fatukasi,HOU,2025,defense,91,DI,4,101,44,57,0,49.9,46.2,72.6,58.0,-,2,2,0,0,0,4,2,0,0.0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),101,0,0,0,0,8,82,11,0
M.J. Stewart,HOU,2025,defense,29,S,7,228,75,2,151,49.4,79.5,63.0,56.2,42.4,0,0,0,0,0,14,5,3,13.6,4,1,12,7,58.3,68,9.7,32,25,1,0,0,102.1,1 (0),4,66,125,33,0,0,0,0,4
Jamal Hill,HOU,2025,defense,56,LB,1,3,2,0,1,49.0,60.0,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,2,0,0,0,0,0
Darrell Taylor,HOU,2025,defense,52,ED,4,35,15,19,1,47.9,57.6,20.7,55.9,60.0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),34,1,0,0,0,0,0,0,34
Leki Fotu,HOU,2025,defense,58,DI,2,46,22,24,0,40.7,43.0,70.1,51.2,-,0,0,0,0,0,1,2,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),46,0,0,0,0,1,44,1,0
Marlon Davidson,HOU,2025,defense,94,DI,1,9,4,5,0,35.4,45.5,-,56.2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),9,0,0,0,0,0,9,0,0
Mario Edwards Jr.,HOU,2025,defense,97,DI,14,282,86,196,0,34.7,35.4,59.2,51.7,57.2,14,2,2,10,0,7,4,1,8.3,5,0,0,0,0,0,0,0,0,0.0,0,0,0,3 (0),282,0,0,0,0,0,187,94,1
Kaevon Merriweather,HOU,2025,defense,32,S,1,9,4,0,5,31.4,60.0,75.2,-,41.8,0,0,0,0,0,1,0,0,0.0,0,0,1,1,100.0,23,23.0,11,23,0,0,0,118.8,0 (0),0,1,7,0,0,0,0,0,0
Damone Clark,HOU,2025,defense,31,LB,2,24,13,0,11,29.1,56.4,37.3,-,27.7,0,0,0,0,0,3,1,1,20.0,0,0,4,3,75.0,22,7.3,5,16,1,0,0,127.1,0 (0),0,20,1,1,1,0,0,0,0
Naquan Jones,HOU,2025,defense,91,DI,4,70,37,33,0,28.8,27.9,25.6,63.7,60.0,1,0,1,0,0,3,1,2,33.3,3,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),70,0,0,0,0,4,66,0,0
