player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Brenton Cox Jr.,GB,2025,defense,57,ED,4,79,31,47,1,53.2,44.9,53.2,67.2,60.0,5,1,2,2,0,3,1,2,33.3,2,1,0,0,0,0,0,0,0,0.0,0,0,0,1 (1),79,0,0,0,0,0,2,4,73
Devonte Wyatt,GB,2025,defense,95,DI,10,379,155,222,2,52.9,38.7,76.8,71.4,61.9,22,4,2,16,2,16,8,1,4.0,16,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (1),378,1,0,0,0,32,270,72,4
Colby Wooden,GB,2025,defense,96,DI,17,587,295,290,2,49.9,46.2,34.2,58.3,59.4,11,0,3,8,1,34,16,7,12.3,27,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),587,0,0,0,0,163,381,28,15
Zayne Anderson,GB,2025,defense,39,S,3,22,9,0,13,49.5,61.2,-,-,49.3,0,0,0,0,0,0,0,0,0,0,2,1,50.0,4,4.0,6,4,0,0,0,56.3,0,0 (0),2,10,5,5,0,0,0,0,2
Quay Walker,GB,2025,defense,07,LB,14,900,359,77,464,48.7,54.5,81.0,62.0,45.3,12,3,5,4,0,90,28,10,7.8,44,0,73,60,82.2,548,9.1,294,41,5,0,4,120.8,1 (0),37,798,6,59,0,0,0,0,37
Karl Brooks,GB,2025,defense,94,DI,15,618,224,388,6,47.4,40.6,60.7,58.7,59.8,25,1,4,20,1,20,9,2,6.5,11,0,1,1,100.0,3,3.0,8,3,0,0,0,79.2,2 (0),613,5,0,0,0,44,330,228,11
Nazir Stackhouse,GB,2025,defense,93,DI,13,159,91,68,0,43.5,44.5,44.4,49.3,60.0,4,0,0,4,0,6,5,2,15.4,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),159,0,0,0,0,41,116,2,0
Warren Brinson,GB,2025,defense,91,DI,11,273,116,152,5,42.8,36.5,36.9,66.5,53.1,11,1,1,9,0,8,3,2,15.4,5,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),272,1,0,0,0,17,197,55,3
Arron Mosby,GB,2025,defense,53,ED,2,17,7,9,1,37.7,51.1,-,59.0,60.0,2,0,0,2,0,0,0,0,0,0,1,1,100.0,-2,-2.0,5,-2,0,0,0,79.2,0,1 (0),17,0,0,0,0,0,0,0,17
Quinton Bohanna,GB,2025,defense,76,DI,1,15,13,2,0,37.3,41.5,67.9,59.1,-,0,0,0,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),15,0,0,0,0,7,8,0,0
Jordon Riley,GB,2025,defense,97,DI,4,64,39,25,0,34.7,33.3,26.7,56.9,-,4,0,0,4,0,3,0,1,25.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),64,0,0,0,0,28,35,1,0
Jaylin Simpson,GB,2025,defense,38,S,1,62,27,0,35,30.3,45.6,59.7,-,30.0,0,0,0,0,0,8,0,1,11.1,1,0,7,4,57.1,52,13.0,10,17,0,0,0,80.7,2 (1),0,4,0,0,58,0,0,0,0
