#,Type,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,Salary,EstProj,SumOwn%
1,CASH,Jared Goff $6000,Jahmyr Gibbs $8000,Bucky Irving $5700,Amon-Ra St. Brown $7500,DJ Moore $5600,Stefon Diggs $5200,Dallas Goedert $4100,MarShawn Lloyd $4800,Bears $2800,49700,130.0,183
2,CASH,Jalen Hurts $6600,Omarion Hampton $6800,Bucky Irving $5700,Amon-Ra St. Brown $7500,DeVonta Smith $6600,Chris Godwin Jr. $5200,Juwan Johnson $3700,MarShawn Lloyd $4800,Bears $2800,49700,124.5,155
3,CASH,Josh Allen $7000,Jahmyr Gibbs $8000,Omarion Hampton $6800,Ladd McConkey $5900,DJ Moore $5600,Stefon Diggs $5200,Juwan Johnson $3700,MarShawn Lloyd $4800,Bears $2800,49800,126.5,190
4,CASH,Jared Goff $6000,Omarion Hampton $6800,Bucky Irving $5700,Amon-Ra St. Brown $7500,DeVonta Smith $6600,Ladd McConkey $5900,Juwan Johnson $3700,MarShawn Lloyd $4800,Bears $2800,49800,125.5,166
5,CASH,Jalen Hurts $6600,Jahmyr Gibbs $8000,Bucky Irving $5700,DeVonta Smith $6600,Ladd McConkey $5900,Chris Godwin Jr. $5200,Dallas Goedert $4100,MarShawn Lloyd $4800,Bears $2800,49700,124.0,166
6,GPP,Caleb Williams $6300,Tyler Allgeier $4900,MarShawn Lloyd $4800,Drake London $6500,Tee Higgins $6300 (Q),Jameson Williams $6000,Colston Loveland $5300,Luther Burden III $5500 (Q),Ravens $3000,48600,111,120
7,GPP,Josh Allen $7000,Omarion Hampton $6800,Jaylen Warren $5400,Nico Collins $7000,Terry McLaurin $5700,Keon Coleman $4000 (Q),Sam LaPorta $4400 (Q),Jordan Mason $5400,Jaguars $3400,49100,115.5,110
8,GPP,Daniel Jones $5400,Jahmyr Gibbs $8000,Tyler Allgeier $4900,Amon-Ra St. Brown $7500,Ladd McConkey $5900,Alec Pierce $5700,Mark Andrews $3900,Stefon Diggs $5200,Steelers $3300,49800,120.0,129
9,GPP,Baker Mayfield $5900,Travis Etienne Jr. $5900,Jaylen Warren $5400,Ja'Marr Chase $7800 (Q),Emeka Egbuka $6200 (Q),Chris Godwin Jr. $5200,Dalton Kincaid $4600,MarShawn Lloyd $4800,Bills $3100,48900,115,123
10,GPP,Justin Herbert $6100,Jahmyr Gibbs $8000,David Montgomery $6000,Ladd McConkey $5900,Rome Odunze $5400 (Q),Marvin Harrison Jr. $5000,Colston Loveland $5300,Jaylen Warren $5400,Texans $2900,50000,113.5,98
11,GPP,Joe Burrow $6900,Bucky Irving $5700,Tyler Allgeier $4900,Justin Jefferson $7300,Tee Higgins $6300 (Q),Jameson Williams $6000,Dallas Goedert $4100,Chris Godwin Jr. $5200,Lions $3200,49600,119.0,115
12,GPP,Jordan Love $5700,Chase Brown $7100,Jordan Mason $5400,Amon-Ra St. Brown $7500,Christian Watson $5900,Chris Godwin Jr. $5200,Tucker Kraft $4500 (Q),Kenny Gainwell $5200,Bills $3100,49600,114.5,75
13,GPP,Caleb Williams $6300,Jonathan Taylor $7300,MarShawn Lloyd $4800,Tee Higgins $6300 (Q),Tetairoa McMillan $6100,Jordan Addison $5800,Juwan Johnson $3700,Rome Odunze $5400 (Q),Eagles $3200,48900,114.0,111
14,GPP,Justin Herbert $6100,Rico Dowdle $5200,Kaleb Johnson $4400,Chris Olave $6700,Emeka Egbuka $6200 (Q),Ladd McConkey $5900,Trey McBride $6800,Rome Odunze $5400 (Q),Ravens $3000,49700,110.5,89
15,GPP,Jordan Love $5700,Jaylen Warren $5400,MarShawn Lloyd $4800,Justin Jefferson $7300,Chris Olave $6700,Tee Higgins $6300 (Q),Tucker Kraft $4500 (Q),Christian Watson $5900,Eagles $3200,49800,116,114
16,GPP,Baker Mayfield $5900,Saquon Barkley $6900,MarShawn Lloyd $4800,Ja'Marr Chase $7800 (Q),Nico Collins $7000,Emeka Egbuka $6200 (Q),Mark Andrews $3900,Juwan Johnson $3700,Ravens $3000,49200,116.5,125
17,GPP,Justin Herbert $6100,James Cook III $7200,Derrick Henry $6700,Tee Higgins $6300 (Q),Emeka Egbuka $6200 (Q),Brian Thomas Jr. $5500,Kyle Pitts Sr. $4700,Tre' Harris $3800 (Q),Bills $3100,49600,112.5,76
18,GPP,Justin Herbert $6100,Saquon Barkley $6900,Braelon Allen $4700,Tee Higgins $6300 (Q),Ladd McConkey $5900,Michael Wilson $5300,Trey McBride $6800,Tre' Harris $3800 (Q),Packers $3000,48800,109.5,84
19,GPP,Caleb Williams $6300,Kenny Gainwell $5200,Braelon Allen $4700,Ja'Marr Chase $7800 (Q),Tetairoa McMillan $6100,Terry McLaurin $5700,Colston Loveland $5300,Luther Burden III $5500 (Q),Steelers $3300,49900,111,79
20,GPP,Jared Goff $6000,Kenny Gainwell $5200,Rico Dowdle $5200,Ja'Marr Chase $7800 (Q),Chris Olave $6700,Brian Thomas Jr. $5500,Sam LaPorta $4400 (Q),MarShawn Lloyd $4800,Bills $3100,48700,117.5,131
21,GPP,Jalen Hurts $6600,Jahmyr Gibbs $8000,MarShawn Lloyd $4800,Nico Collins $7000,Luther Burden III $5500 (Q),Stefon Diggs $5200,Sam LaPorta $4400 (Q),Dallas Goedert $4100,Lions $3200,48800,118.5,149
22,GPP,Jared Goff $6000,Bucky Irving $5700,Jordan Mason $5400,Amon-Ra St. Brown $7500,Chris Olave $6700,Tee Higgins $6300 (Q),Sam LaPorta $4400 (Q),MarShawn Lloyd $4800,Eagles $3200,50000,123.5,142
